DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,AC012676.5,0.773186754,4.70E-06
,AC130304.1,NA,NA
,AC023818.1,0.37190833,0.538900496
,AC138965.3,-0.069494869,NA
,AC127024.8,0.584280932,0.301505138
,AL049833.3,0.004493782,0.993761163
,GATD3B,-0.181698652,0.529198142
,AL157996.1,0,NA
,AL353763.2,0.30604972,0.250292246
,AC016526.3,-0.086713305,NA
,AC011447.7,-1.008408367,0.000140633
,TBC1D22A-AS1,0.201668211,0.792350183
,LINC01667,-0.044806521,NA
,AF246928.1,NA,NA
,AC079777.1,0,NA
,AP001002.3,NA,NA
,AC026887.1,NA,NA
,AC126474.2,0.343322202,0.163056521
,AP000590.2,NA,NA
,OR8B4,NA,NA
,AC020895.2,0.774837539,0.179276952
,AC002044.3,0.041983092,NA
,AP002791.1,NA,NA
,OR1B1,0.041983092,NA
,CU639417.4,0,NA
,AC015967.2,-0.031718829,NA
,AC073592.8,0.909040349,0.067886587
,AC011155.1,NA,NA
,AL603750.1,-0.921941303,0.09342093
,AC007792.1,0,NA
,AC010608.3,-0.293675416,0.671289887
,AC009487.4,NA,NA
,AC008555.7,-0.280017666,0.490671255
,AL022393.1,0.441239677,0.510429675
,AJ239318.1,-0.031718829,NA
,PLAC4,-0.075550252,0.914819195
,AC087893.4,NA,NA
,AL357140.3,-0.18040497,NA
,AL021920.2,NA,NA
,AC136603.1,0.005132131,NA
,AC231657.2,0.12918397,0.877489578
,AC122688.4,-0.086417966,NA
,AC090983.1,-0.031718829,NA
,AC093642.2,NA,NA
,AC073857.1,-0.546546127,0.009771088
,AC010335.3,NA,NA
,AC016168.4,0,NA
,AP003485.2,NA,NA
,AC005252.2,NA,NA
,AC069542.2,NA,NA
,AL662795.2,-0.218968498,0.455464881
,AL132780.5,-0.630888052,0.128592994
,AC027348.2,NA,NA
,AC026471.6,0.344385621,0.627357801
,AL731532.2,0.124854769,0.8516228
,AL096816.1,0.041983092,NA
,AC240565.3,0.392980523,0.380873184
,AC116348.6,NA,NA
,AC027290.3,-0.443068495,0.194621996
,AC010297.1,NA,NA
,AC098679.4,0.078834053,NA
,AL357562.1,NA,NA
,AP000892.4,0.053632341,NA
,AC073308.1,NA,NA
,CU638689.4,NA,NA
,AC084026.3,NA,NA
,AC004877.2,-0.548270851,0.389481037
,AC148477.9,NA,NA
,AC009078.3,NA,NA
,AC133065.3,NA,NA
,AC073255.1,NA,NA
,AL021408.2,0,NA
,AL359510.2,-0.334492866,0.652361084
,AC016583.1,0.532291498,0.426783482
,AC135050.7,0.203709673,0.7972131
,AC022413.2,0.117867798,0.896578766
,AL136531.3,-0.244549886,0.762936127
,AC040160.3,-0.100798857,0.893202043
,CU638689.5,0.008683198,NA
,PCDH20,1.554810152,0.001093446
,AC016542.3,-0.031718829,NA
,AP000943.3,1.066608239,0.047144941
,AC005274.1,-0.027612977,0.97475401
,AL136526.1,-0.183119822,0.733978627
,AC010329.5,0.060194448,NA
,FP475955.4,NA,NA
,AC104447.1,0.347945426,0.455069006
,AC012486.1,0.041983092,NA
,AC004408.2,0.559420282,0.280517414
,CU639417.5,NA,NA
,AC023824.6,NA,NA
,AC025262.2,0.03518701,0.968924881
,AC131888.1,-0.031718829,NA
,AC067852.4,0.050763691,0.95984438
,AL023806.3,-0.512461153,0.450740402
,AC091932.3,NA,NA
,AL359258.3,0.248234166,0.761074723
,AC022107.1,0.162727102,0.758542552
,AC007614.2,NA,NA
,AC027279.4,0.215830313,NA
,LINC01669,NA,NA
,AC132219.2,0.028238213,0.972894804
,AD000864.1,0.594695775,0.175451495
,AC245140.2,0.209708529,0.662443918
,AC055717.3,-0.031718829,NA
,C18orf12,0,NA
,AC087163.3,-0.032446224,0.968541772
,Z82202.1,NA,NA
,AC073862.5,0.100465097,NA
,AP003400.6,NA,NA
,AC005831.1,0.119205416,0.724734487
,OR1S1,NA,NA
,AC009716.2,-0.072420661,0.914250513
,AC026401.3,-0.520781109,0.011792867
,AC106795.5,-0.276750984,NA
,GGT4P,0.041983092,NA
,AC106886.5,-0.178586907,0.770574938
,AC012254.5,0.292440057,0.710955083
,UCKL1-AS1,-0.032040551,0.963090873
,AC027682.7,-0.480837684,0.348145407
,AC021613.2,NA,NA
,AL022326.2,-0.705104708,0.141079143
,AC126564.1,-0.031718829,NA
,AC093908.1,0,NA
,AL157414.3,NA,NA
,AL365209.1,0,NA
,AL645820.1,NA,NA
,AL008636.1,0.22256506,0.742450104
,AC237221.2,NA,NA
,AC079416.4,-0.262330879,NA
,AC079753.1,0.418468551,0.511494066
,AL161658.1,0,NA
,AL031719.2,-0.618049237,0.318786796
,AL589666.2,-0.031718829,NA
,AC015813.7,-0.383702675,NA
,AC124303.2,0.082820773,NA
,OR12D2,NA,NA
,AC022400.10,NA,NA
,AC011498.7,-0.651052664,0.002474369
,AC079298.3,-0.536165955,0.42331457
,AL450226.2,0.007511606,NA
,MTCO1P1,NA,NA
,AL512356.3,-0.031718829,NA
,AC079336.7,0.041983092,NA
,AC005578.1,0.014650033,NA
,AC124319.3,0.023845571,0.974216077
,AL691477.1,NA,NA
,AC097372.3,0.011401465,NA
,AC091912.2,NA,NA
,AC233723.2,0.395017265,0.532951114
,AC004947.2,-2.077589696,1.60E-27
,AC007741.1,0,NA
,AL512662.1,NA,NA
,AC009161.2,NA,NA
,AC093671.1,NA,NA
,AC137499.2,NA,NA
,AC130456.7,NA,NA
,AC006372.4,0.041983092,NA
,PRAMEF26,NA,NA
,AC025125.1,NA,NA
,AP000577.2,-0.407856113,0.542705683
,AC068299.2,0.034345617,0.968541772
,AC005858.1,NA,NA
,AF131216.4,0.078489832,0.93663442
,AC009145.4,-0.083007652,NA
,Z82209.2,NA,NA
,AC009229.4,0.142669963,0.842660256
,AL079342.3,-0.185619086,0.753417883
,AC009108.5,0.041983092,NA
,AC240565.4,0.844367233,0.146079479
,AC006435.5,NA,NA
,AL049781.1,-0.031718829,NA
,AC138430.2,NA,NA
,AC010601.2,0,NA
,AC092608.3,NA,NA
,AC108215.1,0.041983092,NA
,FRG1KP,0.018864257,0.976750592
,AC131212.3,0.131398066,0.841855863
,AC131935.2,NA,NA
,AC016251.1,NA,NA
,AC011008.2,0.251127386,0.720253977
,AC099811.6,0.117085815,0.864443507
,AL137058.3,-0.031718829,NA
,AC117503.4,-0.847743298,0.026890614
,AP005264.7,0.041983092,NA
,ERICD,-0.363128397,0.62147498
,AC104260.2,NA,NA
,AC018765.1,-0.031718829,NA
,AC137056.2,NA,NA
,AP000676.4,0,NA
,AC092437.1,0,NA
,AC131212.4,-0.331267583,0.634258541
,Z83836.1,0.041983092,NA
,OR8K3,NA,NA
,AL732618.1,NA,NA
,AC027309.3,NA,NA
,AC073578.4,0.041983092,NA
,AC025262.3,NA,NA
,AC129502.1,0.126633231,NA
,AL035425.5,NA,NA
,AC053503.5,0.65016976,0.254704753
,AC074183.2,-0.031718829,NA
,AC067931.2,-0.116266955,NA
,Z97633.1,-0.136487136,0.874171724
,CTBP2P10,NA,NA
,AC061999.1,0.121261974,NA
,AC020917.4,-0.059463696,0.932005115
,AC090617.9,-0.201358816,NA
,AC009084.2,1.175741132,0.005210681
,AC016866.3,0.041983092,NA
,AC244517.12,0,NA
,DUX4L25,NA,NA
,AC091941.1,NA,NA
,AP001528.2,-0.302159926,0.59242068
,AC080080.2,-0.031718829,NA
,AP000542.3,0,NA
,AC009166.2,NA,NA
,AC092184.3,NA,NA
,FP236240.3,NA,NA
,AC000123.3,0.222894728,0.589163239
,AL138713.1,0.041983092,NA
,AC008133.2,-0.04398068,NA
,LINC01726,NA,NA
,AC127496.7,-0.459084205,0.422113791
,AC116563.2,NA,NA
,AC011466.4,-0.636254101,0.315528504
,AC073592.9,0.195032645,NA
,AL132656.4,0.141665757,0.877173293
,AL021877.2,0,NA
,AL138960.2,NA,NA
,AC105133.2,NA,NA
,AC092159.3,0.481886658,0.305837665
,AC084759.3,0.041983092,NA
,AC005858.2,0,NA
,AC021766.1,0.041983092,NA
,AL161782.1,NA,NA
,AP002364.1,-0.139768979,0.811920871
,AC034229.5,0,NA
,AC012640.7,-0.26615752,NA
,AL136967.2,NA,NA
,CR382285.2,NA,NA
,AC091953.6,NA,NA
,AC019080.5,0.053399982,0.954701929
,AL359740.1,0,NA
,AC012186.3,0.246637495,0.760651182
,AC027176.3,0,NA
,AL353898.3,-0.033568023,0.969949016
,AP003072.5,0.058334086,0.952017735
,AC009831.4,0.0613918,NA
,AC026362.2,0.007389666,NA
,AC096920.1,-0.415788152,0.523055651
,Z95331.1,0.556404475,0.17924845
,FP325332.1,0.190428187,0.8196437
,AP000648.4,0.100317724,0.850935332
,AL109806.1,0.512068163,0.253288944
,AC006330.1,0.054549829,0.953061719
,AC010872.1,NA,NA
,AC007496.3,-0.270374353,NA
,AC090574.1,NA,NA
,AC011471.3,-0.031718829,NA
,AL034546.1,-0.062141101,NA
,AC114546.4,NA,NA
,AC011592.1,0,NA
,AC005858.3,NA,NA
,AC022497.1,-0.328973111,0.664596155
,AC127459.3,NA,NA
,AC022532.1,0.131943681,0.883939136
,AC093525.10,0.56406784,0.386444577
,AC005086.5,-0.142822385,NA
,AC026336.5,NA,NA
,AC104985.3,NA,NA
,AC132872.4,0.292497828,0.625673559
,AC032044.2,-0.054931165,0.957020867
,LINC01101,NA,NA
,AC004790.2,NA,NA
,AC018470.1,NA,NA
,AC005252.3,NA,NA
,AC009084.3,NA,NA
,AC096887.2,-1.289241311,0.000662636
,AC007326.2,-0.046749834,NA
,AC010531.8,-0.031718829,NA
,AC005355.2,0.680243138,0.181396165
,AC115284.2,0.266838397,0.7401253
,AL359852.1,0,NA
,BX537318.2,0.28307661,0.651565387
,AL357673.2,0.026334766,0.970785921
,AC084876.2,-0.542461973,0.416658494
,AF001548.3,0.048542653,NA
,AP002782.1,NA,NA
,AL160394.2,0.227857327,0.685662267
,AP000962.2,NA,NA
,FP565260.6,-0.064733631,0.900799429
,AL031595.3,-0.11249554,0.868843819
,AC006058.4,-0.262725488,NA
,CR392039.5,NA,NA
,AC091932.4,NA,NA
,AC004836.1,NA,NA
,AC002064.4,0.041983092,NA
,FP236383.3,1.022992488,0.05714358
,AL136313.1,-0.166877755,NA
,AC073592.10,0.607299721,0.287690691
,AL049536.1,NA,NA
,AL607033.1,0,NA
,AC034229.6,0.041983092,NA
,AL683826.1,NA,NA
,AL356094.1,NA,NA
,AP006248.5,NA,NA
,AC007347.2,NA,NA
,AL359745.1,0,NA
,DUX4L2,NA,NA
,SCARNA4,NA,NA
,AL356481.2,-0.031718829,NA
,AL358154.1,NA,NA
,AC005329.3,0.779287125,0.090591236
,AC007182.3,NA,NA
,SNORA17B,NA,NA
,SNORA16A,NA,NA
,AP003392.6,-0.135388564,0.877173293
,AL591030.1,NA,NA
,SALRNA2,0.041983092,NA
,ASAP1-IT2,0.301614672,0.700067917
,AC116913.2,NA,NA
,LINC01374,0.131095123,0.880300907
,LINC02342,NA,NA
,LINC01348,-0.461790543,0.502134719
,BTG3-AS1,-0.486279745,0.403743135
,AJ239328.1,0.245090921,0.752332873
,FP236383.4,0.041983092,NA
,SCAANT1,0.139117969,0.877173293
,PCAT14,0.041983092,NA
,THRIL,NA,NA
,AC096587.2,0,NA
,LINC02204,0.241564876,0.72726168
,RNA5SP196,NA,NA
,AC245100.8,0.131164032,0.873737719
,KCNIP4-IT1,NA,NA
,AC134981.1,NA,NA
,AL157396.1,NA,NA
,AL513210.2,NA,NA
,CCDC163,0.40088661,0.149515287
,LINC01242,NA,NA
,SH3PXD2A-AS1,NA,NA
,AC060814.4,NA,NA
,SNORD3E,NA,NA
,HPAT5,NA,NA
,AL139035.1,NA,NA
,JADRR,NA,NA
,PCAT5,0,NA
,LINC01943,0.144435526,NA
,LINC00251,NA,NA
,LINC01232,0.261329776,0.480702367
,EIF1B-AS1,0.28462825,0.401948373
,LINC01173,NA,NA
,LINC00850,-0.031718829,NA
,DUX4L1,NA,NA
,AL356481.3,-0.337854688,0.658115664
,AL732314.6,NA,NA
,AL732314.6,0,NA
,AP003304.1,NA,NA
,LINC01202,0,NA
,JAKMIP2-AS1,-0.147741061,NA
,PAGR1,-0.399440107,0.004812976
,LINC00294,0.20169783,0.4072992
,DUX4L5,NA,NA
,FP671120.7,0,NA
,LINC00836,0.205932888,0.710997517
,AC090114.3,0.780298004,0.000285056
,GSEC,-0.61038915,2.04E-05
,AL355480.1,-0.052788053,0.958508041
,CPS1-IT1,NA,NA
,AL121956.4,NA,NA
,AC025048.6,0.743539875,0.001879769
,AC233296.1,0,NA
,AC017002.3,0.059883409,NA
,AC060814.5,NA,NA
,ELDR,NA,NA
,SNORA50D,NA,NA
,AC104446.3,-0.095889004,NA
,CTSLP3,-2.722656139,1.12E-22
,FOXCUT,NA,NA
,AC092848.1,NA,NA
,LINC00628,0.041983092,NA
,CTBP1-AS,0.157606735,0.644838106
,AL353658.1,NA,NA
,LINC01163,NA,NA
,AC004808.1,NA,NA
,TTTY3B,NA,NA
,AC002059.2,0.015122762,NA
,RPS4Y2,1.002083391,0.012035313
,MATR3,NA,NA
,LINC00581,-0.031718829,NA
,AL121956.5,NA,NA
,CCAT2,NA,NA
,SNORD3D,NA,NA
,LINC00921,0.457383103,0.010662408
,AC004808.2,NA,NA
,AC009065.10,NA,NA
,AC092574.2,0.009926509,NA
,AL078581.4,-0.119767167,0.891640059
,N4BP2L2-IT2,0.364325863,0.172153927
,DUX4L6,NA,NA
,AC073476.5,0.10338932,NA
,AC135068.6,0.196220791,0.781705599
,AL117327.1,0.659185682,0.292716652
,LINC01395,-0.06856979,NA
,AC105749.1,-0.053483213,0.958732984
,TRG-AS1,1.852393188,1.10E-21
,TMEM272,0.131580241,NA
,AL355480.2,0.041983092,NA
,AC135068.7,NA,NA
,AC006355.2,NA,NA
,PTENP1-AS,-1.043723769,0.02425116
,SCHLAP1,NA,NA
,AL355480.3,-0.64305054,0.196395731
,MIR3651,NA,NA
,AC112786.1,NA,NA
,AC018358.1,NA,NA
,LINC01127,2.956152122,4.77E-52
,FP236383.5,0.646839036,0.210161231
,NPTN-IT1,0.429293466,0.268687625
,LINC00706,NA,NA
,GHET1,-0.097033828,0.909791352
,AC007878.1,0.670979016,0.115497886
,LINC00934,0,NA
,LINC01097,NA,NA
,SLFNL1-AS1,-1.091915833,0.00086336
,LINC00254,0,NA
,AL132640.4,0,NA
,LINC02536,NA,NA
,SALRNA3,0,NA
,AC068724.3,0,NA
,Z69713.1,NA,NA
,AC025362.1,NA,NA
,LINC01338,0.055576274,0.9541846
,LINC00997,-0.940541172,0.040268675
,AC024941.2,0.041983092,NA
,HELLPAR,-0.086155993,0.846499512
,NF1P9,NA,NA
,ARRDC3-AS1,0.25229919,0.613339874
,RASSF1-AS1,0.478741046,0.483005004
,AL049541.1,NA,NA
,AC093826.2,0.116562047,0.866084079
,INE2,NA,NA
,ABALON,-0.089454811,0.926227551
,SEPTIN14P19,NA,NA
,FP671120.8,1.315202402,0.011135175
,AP003500.1,NA,NA
,AC107204.1,-0.592886393,0.097214591
,SCARNA4,NA,NA
,SNHG4,-0.84207004,1.22E-06
,LINC01176,0.284166976,0.555186931
,BLACAT1,-0.198415317,0.818875982
,AP001052.1,0.042755583,0.962879649
,MIR548BB,NA,NA
,PANDAR,NA,NA
,TGFB2-OT1,NA,NA
,AL049541.2,NA,NA
,AC006504.7,0.211979489,NA
,AC019226.1,0.253128607,0.751916633
,PISRT1,NA,NA
,LINC01955,0,NA
,CICP14,0.433340603,0.03684375
,DNAJB5-DT,0.044188956,0.960308153
,SEPSECS-AS1,-0.047996345,0.922937752
,AC112786.2,NA,NA
,AC004461.3,0.466071925,0.490251341
,AC254562.3,0.445996812,0.523643688
,LINC00895,0,NA
,AC135068.9,NA,NA
,LSINCT5,NA,NA
,AL157778.1,0.091281848,NA
,AC241585.2,-0.597250773,0.330074391
,DBET,0.121451896,0.893202043
,DUX4L3,NA,NA
,SAMD12-AS1,0,NA
,EBLN3P,-0.019661735,0.919006835
,DUX4L7,NA,NA
,AP000851.2,0.115912173,NA
,LINC00538,NA,NA
,RBM5-AS1,0.051239909,0.960629492
,PACRG-AS1,0,NA
,MIR664A,NA,NA
,AL009179.1,-0.748423198,0.074640589
,ERC2-IT1,0.058992183,NA
,AC025614.2,NA,NA
,DUX4L8,NA,NA
,LINC01080,NA,NA
,METTL14-DT,0.229547317,0.762641727
,Z84468.1,0,NA
,AC241377.4,-0.061932221,NA
,C2-AS1,0.829623685,0.119339642
,LINC01230,-0.146005846,NA
,AC019226.2,0.046232275,0.960105592
,LINC00550,-0.031718829,NA
,AC007383.5,-0.444569232,0.526177373
,AL355987.6,NA,NA
,LINC01394,NA,NA
,AL355480.4,0.041983092,NA
,AL645929.2,1.076299811,0.046261936
,LINC00602,NA,NA
,MIR1291,-0.031718829,NA
,AL732314.8,NA,NA
,AL732314.8,0,NA
,LINC00891,-0.515276766,0.366011816
,AC106017.2,NA,NA
,SNORD38B,NA,NA
,AC034186.2,NA,NA
,PAUPAR,NA,NA
,AC018638.8,0.683369176,0.006368518
,LINC02246,0.188834335,0.827780349
,AC233263.6,NA,NA
,HERC2P7,-0.096524737,NA
,SNORA50A,NA,NA
,LINC01144,0.363728284,0.559360438
,AC007389.5,-0.031718829,NA
,AC073488.2,0,NA
,AC073488.3,NA,NA
,TRBJ1-4,0,NA
,AF067845.4,NA,NA
,AL592158.1,NA,NA
,AC025268.1,-0.074048499,NA
,TMEM265,-0.045584928,0.912484386
,AP000357.2,NA,NA
,AC100810.3,0.50040119,0.422504946
,AC006581.2,0.473593939,0.464727848
,AL009031.1,0.050570746,0.958951045
,AC074387.1,NA,NA
,Z82244.1,NA,NA
,AL591742.2,-0.376539723,0.599732707
,AC010507.1,NA,NA
,AC092807.4,0.108019393,NA
,CICP19,NA,NA
,AC006511.5,-0.068319992,NA
,AL160408.6,0.388255517,0.521102466
,HSP90AB4P,1.098012166,0.034257994
,LINC02815,0.130413314,0.847866832
,AL592430.3,NA,NA
,TRBJ1-3,NA,NA
,OR4G3P,NA,NA
,AC245187.2,NA,NA
,AL137798.2,0.041983092,NA
,AF067845.5,NA,NA
,PEG13,-0.163156436,0.858011683
,TRBJ1-5,NA,NA
,AC007993.3,0.003237441,0.996786358
,AC233280.19,0.260062705,0.664100695
,AC119427.1,NA,NA
,AC073488.4,NA,NA
,AL450990.1,NA,NA
,CYP3A51P,0.041983092,NA
,AC073488.5,NA,NA
,AC073488.6,NA,NA
,AC073488.7,NA,NA
,DPRXP3,-0.045631872,NA
,AL451007.2,-0.317777768,0.624570509
,TRBJ1-1,NA,NA
,MTND1P7,NA,NA
,AC134503.1,NA,NA
,AC010507.2,NA,NA
,AC073488.8,NA,NA
,AC100797.5,NA,NA
,AC104073.4,0,NA
,AL358472.4,-0.378073226,0.522345717
,AL392083.1,NA,NA
,AC016588.2,0.417433801,0.510122837
,AL109920.3,NA,NA
,AL133461.1,NA,NA
,AC092299.1,0.132201525,NA
,AC092811.1,0.262022237,NA
,TEX13D,0,NA
,TRBJ1-2,0,NA
,TRBD1,0.041983092,NA
,AL356095.3,NA,NA
,AC074099.1,0.041983092,NA
,WASH5P,-0.494213113,0.277423857
,AL109837.2,NA,NA
,TRBV25-1,NA,NA
,AC073488.9,NA,NA
,FKBP1AP4,-0.031718829,NA
,LINC01002,1.823058174,4.49E-09
,CLUHP10,NA,NA
,AC110491.3,0,NA
,AC092192.1,NA,NA
,AC008993.1,0.007144329,NA
,AC068733.3,1.498452728,0.000569442
,AL133516.1,0,NA
,AC215522.2,1.87996865,2.47E-10
,FAM138F,0,NA
,IGHV3-69-1,NA,NA
,Z82244.2,NA,NA
,ADORA3,1.245810856,0.000541015
,MRPL57P8,NA,NA
,AC073488.10,NA,NA
,AC245519.2,NA,NA
,AC129915.3,NA,NA
,AC073488.11,NA,NA
,AC104333.4,NA,NA
,PGR-AS1,0,NA
,AC073539.7,NA,NA
,AC243829.7,NA,NA
,AL021920.3,NA,NA
,AC093323.3,0.135343041,0.863440991
,DUXB,-0.031718829,NA
,AC026950.2,NA,NA
,AL358790.1,-0.146784112,NA
,TRBJ1-6,NA,NA
,AC140479.6,NA,NA
,AL157888.1,-0.722492771,0.218194601
,AC090164.4,NA,NA
,AC008993.2,-0.115129154,NA
,AC008993.3,NA,NA
,TEX13C,0,NA
,AC000035.1,NA,NA
,FRG1CP,0.303965073,0.633699108
,AC009971.1,-0.06856979,NA
,AP000787.3,0.016723756,0.979118025
,AC068544.2,NA,NA
,AC004554.2,0.355723086,NA
,FRG2EP,NA,NA
,AL590644.1,0,NA
,AL359834.1,NA,NA
,RHOXF1P2,0,NA
,BISPR,0.60069133,3.61E-05
,AL137790.2,0.217287427,0.69333853
,AC093591.3,-0.184871388,NA
,AC003992.1,NA,NA
,AC084035.1,NA,NA
,AC012560.2,0.493177534,0.461863012
,AL356118.1,NA,NA
,AL157815.1,NA,NA
,FRG1DP,0.744027598,0.188897064
,C1orf232,0,NA
,BX322534.1,NA,NA
,Z98752.4,0.216618168,0.796221967
,AC095038.3,0.078834053,NA
,TMEM275,NA,NA
,AC027045.2,NA,NA
,AL627171.4,-0.380808409,0.598300792
,PTMAP12,0.692689921,0.262058775
,AL358215.2,NA,NA
,AC009975.1,NA,NA
,DUX4L33,-0.031718829,NA
,AL162727.3,0.041983092,NA
,AL353651.2,0,NA
,AC107398.4,NA,NA
,AL513321.2,NA,NA
,AC007241.2,NA,NA
,DUX4L35,0.013015322,NA
,AC108724.2,NA,NA
,Z83818.2,NA,NA
,AC091769.2,-0.055291519,0.954948982
,LINC02746,0.041983092,NA
,AC107068.2,-0.164577855,NA
,CFTRP2,NA,NA
,AC136428.4,0.078834053,NA
,AC010424.3,NA,NA
,AC136944.6,NA,NA
,RHOXF1P3,-0.686836064,0.265792229
,DUX4L34,0.202191723,0.811893983
,AC004706.3,0.076821979,0.926486471
,TRBV7-2,0.766930136,0.186741218
,AC004784.1,NA,NA
,AC018558.5,NA,NA
,PCMTD1P7,NA,NA
,AC063952.4,NA,NA
,AC008537.4,0.022627499,0.974460896
,AL583852.1,NA,NA
,PRNCR1,-0.309049387,0.616921003
,AC026108.1,0.041983092,NA
,AP001005.3,0.03221712,0.9670653
,AGGF1P10,-0.031718829,NA
,AC141257.3,NA,NA
,LINC02034,0.009954369,NA
,PCBP2-OT1,0.314760661,0.664596155
,AC110994.3,1.216977873,0.013357387
,AC055839.1,0.513702064,0.428508084
,AC099753.1,0,NA
,PDCL3P2,0.039135023,0.960473317
,AL356737.1,NA,NA
,AC215524.1,NA,NA
,FRG1EP,0.277948015,0.709514625
,MPP7-DT,0.213193124,0.697958951
,AL162456.1,NA,NA
,AC009975.2,-0.216623464,0.704472554
,LINC02635,0,NA
,AL450426.1,0,NA
,AC007221.1,NA,NA
,CDC27P3,0.050172019,NA
,AL589826.2,0.082452075,NA
,AL139353.3,0.803159408,0.16727003
,DUX4L37,0.861525451,0.088084135
,FRG1GP,0.157568668,0.832264687
,AC027045.3,0,NA
,AC009242.1,-0.195153459,0.81326658
,AC022596.2,-0.182627739,NA
,LINC01988,-0.21237295,0.802917915
,KLF18,NA,NA
,AL669831.5,NA,NA
,AC008038.1,0.387123602,2.08E-05
,AC097655.1,NA,NA
,AL391597.1,NA,NA
,AC103703.1,-0.153084066,0.85646393
,FRG1FP,-0.146548119,0.848600395
,GTF2IP12,0.421138056,0.068959311
,LINC01668,-0.031718829,NA
,LINC02456,-0.217265991,0.698724569
,AL390862.1,NA,NA
,AC010653.3,0.079381825,NA
,AC009234.1,0,NA
,AC215522.3,NA,NA
,TRBV6-2,0,NA
,AL353759.1,0.727381785,0.192357168
,AC133561.4,NA,NA
,DUX4L32,0.441703088,0.313791455
,LBHD2,0.041983092,NA
,AL158175.1,NA,NA
,AL157931.2,-0.906749985,0.109959496
,AC015978.2,NA,NA
,AL137077.2,-0.576254765,0.234413914
,LINC02498,NA,NA
,AC026634.2,0,NA
,CENPVL2,NA,NA
,FP565171.1,0.062308141,NA
,AL731555.1,NA,NA
,AL159152.1,NA,NA
,AL132857.2,0,NA
,BMS1P21,0.231919972,NA
,AC010642.2,-0.097732321,0.839093293
,AC011451.3,-0.065084523,0.932644778
,AC141257.4,NA,NA
,AC004949.1,0,NA
,AC009951.5,0.035284579,0.969385125
,HYMAI,-0.18701531,0.755178914
,RARRES2P11,NA,NA
,AC022726.2,0.041983092,NA
,MIR1297,NA,NA
,AC009403.2,0,NA
,AL445984.1,0,NA
,MTND2P41,NA,NA
,AC006453.2,NA,NA
,AC021753.1,NA,NA
,AL161637.2,NA,NA
,AC006207.1,-0.069411378,NA
,LINC02666,-3.248562651,5.83E-18
,AL049767.1,0.226464305,0.729174389
,AP000550.3,NA,NA
,MIR548AU,-0.031718829,NA
,AC137936.1,0.179389402,NA
,MIR3120,NA,NA
,IQCJ-SCHIP1,-1.030767593,0.050938833
,AC068620.3,-0.244386977,NA
,AC012564.1,NA,NA
,MIR665,NA,NA
,MIR4521,-0.433758291,0.543862027
,AL390726.5,1.058606358,0.052322179
,AC012507.3,NA,NA
,MIR203B,NA,NA
,AL590396.2,0,NA
,AC140479.7,NA,NA
,MIR382,NA,NA
,MIR548D1,NA,NA
,AL590396.3,0.408544162,NA
,AC007920.2,0.041983092,NA
,AC103706.2,0.112012356,NA
,BX119927.1,NA,NA
,MIR6767,0.078834053,NA
,AC116565.1,NA,NA
,MIR2052,NA,NA
,MIR1243,NA,NA
,IGHVII-43-1,NA,NA
,AC006453.3,0.187011871,0.824611642
,AC103706.3,-0.069775153,NA
,C13orf46,-1.068733242,0.049629312
,MIR1206,NA,NA
,AC010149.2,NA,NA
,MIR1246,NA,NA
,MIR4434,0.012501269,NA
,AL353572.3,NA,NA
,MIR941-1,0.041983092,NA
,MIR1255B1,NA,NA
,AC106858.1,-0.278061986,NA
,MIR1322,0.005132131,NA
,AL773545.4,NA,NA
,MIR642B,NA,NA
,AC130466.1,0.041983092,NA
,AC006453.4,NA,NA
,LINC02537,0.041983092,NA
,AC068205.1,NA,NA
,MIR302F,NA,NA
,AC006160.2,NA,NA
,AC007218.2,NA,NA
,MIR4433A,NA,NA
,MIR3199-2,NA,NA
,SPRR5,NA,NA
,AC099654.5,NA,NA
,CYP2C23P,0,NA
,AL590556.2,0,NA
,AC139493.2,0.207519027,0.807146813
,AC074141.1,-0.136296315,0.618736165
,MIR550B1,NA,NA
,MIR1245B,NA,NA
,AC007529.2,0.599014645,0.258863374
,MIR384,NA,NA
,MEP1AP1,NA,NA
,CCDC201,-0.031718829,NA
,AC084854.1,NA,NA
,AC008687.7,NA,NA
,AL022100.2,NA,NA
,AC068792.2,NA,NA
,AP001184.1,NA,NA
,AC007491.1,NA,NA
,AC242022.1,NA,NA
,AC012671.2,NA,NA
,AL356234.3,NA,NA
,FAM237B,0.010727682,0.984685188
,TEX54,-0.239287616,0.746784468
,AC005524.1,0,NA
,AC244205.2,NA,NA
,AC106041.1,NA,NA
,AC138649.5,-2.064771869,2.95E-11
,ABBA01010928.1,NA,NA
,MIR4275,NA,NA
,MIR3914-2,NA,NA
,MIR376C,NA,NA
,MIR7978,NA,NA
,AC013268.4,0,NA
,AC011460.1,0,NA
,AC093277.1,0.041983092,NA
,SMIM33,-0.323963349,0.672539053
,MIR524,NA,NA
,AL096870.3,-0.031718829,NA
,AC011850.1,NA,NA
,RN7SK,NA,NA
,MIR4256,0.041983092,NA
,TEX52,-0.009689722,0.985185948
,MIR4272,NA,NA
,AF207955.1,NA,NA
,MIR4520-2,NA,NA
,AC073869.5,0,NA
,LINC02183,0,NA
,OR5AK4P,NA,NA
,MTND6P29,NA,NA
